"age","dob_year","gender","friend_count","likes","likes_received"
66,1947,"female",575,422,578
14,1999,"female",146,349,268
20,1993,"female",1055,130,833
21,1992,"male",685,492,783
33,1980,"female",837,1005,337
19,1994,"male",372,403,359
59,1954,"female",949,2041,1247
33,1980,"female",237,283,257
55,1958,"male",201,277,103
15,1998,"female",650,3098,164
14,1999,"female",1513,308,1570
32,1981,"female",279,308,286
23,1990,"male",553,1421,281
60,1953,"female",105,156,127
47,1966,"female",149,1260,943
17,1996,"female",767,1315,1182
15,1998,"female",886,537,1020
19,1994,"female",1591,291,507
19,1994,"female",1773,325,1514
62,1951,"female",117,586,295
23,1990,"female",407,1471,1442
15,1998,"female",4191,1253,3937
52,1961,"female",171,111,218
21,1992,"female",246,2691,2187
58,1955,"male",530,602,209
19,1994,"female",972,493,394
49,1964,"female",310,410,196
16,1997,"female",1165,282,224
61,1952,"male",208,1833,1203
58,1955,"female",123,1416,202
60,1953,"female",69,581,214
18,1995,"female",2839,1042,1300
14,1999,"female",391,617,144
33,1980,"male",189,747,680
58,1955,"female",75,325,452
56,1957,"female",113,1243,135
16,1997,"female",890,186,199
25,1988,"female",68,223,427
17,1996,"female",530,386,189
18,1995,"female",479,805,490
52,1961,"male",202,198,211
55,1958,"female",227,507,266
15,1998,"female",394,1100,755
18,1995,"male",1001,117,289
22,1991,"male",316,393,123
19,1994,"male",2321,2105,3341
19,1994,"male",1380,775,213
45,1968,"female",161,564,626
22,1991,"male",975,164,276
34,1979,"female",116,1488,1266
25,1988,"female",153,340,251
56,1957,"female",65,359,231
31,1982,"male",68,861,357
20,1993,"female",325,315,242
19,1994,"female",469,189,129
15,1998,"female",195,181,285
18,1995,"female",1439,1037,1996
22,1991,"male",444,2307,692
17,1996,"female",502,2604,409
19,1994,"female",1132,409,1719
27,1986,"male",1111,439,472
16,1997,"female",681,439,1471
21,1992,"female",4546,1064,2794
48,1965,"female",66,409,159
20,1993,"male",221,342,145
32,1981,"female",214,422,565
17,1996,"male",553,287,218
16,1997,"male",644,540,1269
19,1994,"female",135,452,393
35,1978,"male",434,2339,189
47,1966,"male",196,3798,113
51,1962,"female",166,220,652
27,1986,"female",1770,318,834
22,1991,"female",122,116,222
42,1971,"female",446,1207,1416
18,1995,"female",470,628,715
23,1990,"female",611,200,238
18,1995,"female",1600,661,2686
16,1997,"female",1769,359,1628
24,1989,"female",137,386,143
17,1996,"male",441,227,366
21,1992,"female",139,145,285
17,1996,"female",305,879,338
34,1979,"female",645,186,534
29,1984,"female",61,259,404
25,1988,"male",611,514,477
20,1993,"male",694,692,368
57,1956,"male",1649,590,141
23,1990,"male",568,107,163
19,1994,"male",165,408,369
26,1987,"female",167,303,216
18,1995,"female",767,1994,3495
34,1979,"female",183,322,261
22,1991,"female",809,405,376
21,1992,"female",128,603,166
22,1991,"male",415,169,373
25,1988,"female",59,952,258
19,1994,"male",1089,161,333
16,1997,"male",412,381,335
16,1997,"female",778,2504,514
44,1969,"male",61,213,108
19,1994,"female",336,458,1638
27,1986,"female",111,217,466
18,1995,"male",579,368,155
16,1997,"female",75,1202,199
18,1995,"female",574,1185,792
53,1960,"female",374,211,116
33,1980,"female",363,256,283
21,1992,"female",231,333,534
19,1994,"female",1186,775,1530
34,1979,"female",273,688,549
29,1984,"male",67,158,239
19,1994,"male",198,101,195
51,1962,"male",181,231,152
47,1966,"male",85,159,451
18,1995,"male",973,295,157
39,1974,"female",103,127,193
23,1990,"male",692,884,533
23,1990,"female",486,478,424
16,1997,"female",1929,645,866
38,1975,"female",79,431,247
19,1994,"female",800,189,332
23,1990,"female",128,136,186
19,1994,"female",77,769,1151
29,1984,"female",235,240,411
47,1966,"female",218,189,108
59,1954,"female",1837,1947,2133
34,1979,"female",210,215,139
22,1991,"female",51,162,159
23,1990,"male",239,639,264
20,1993,"male",85,834,574
41,1972,"male",88,128,157
50,1963,"female",414,1514,616
29,1984,"female",729,619,822
20,1993,"female",682,3038,169
24,1989,"female",220,278,398
28,1985,"male",85,325,219
65,1948,"female",66,331,212
54,1959,"male",433,124,193
16,1997,"female",1625,3330,1509
48,1965,"female",98,254,121
17,1996,"female",180,531,444
26,1987,"female",147,238,214
17,1996,"female",582,472,496
25,1988,"female",524,281,235
57,1956,"female",669,154,262
21,1992,"female",1041,186,1224
18,1995,"male",1256,1005,2092
18,1995,"female",262,223,148
17,1996,"male",925,308,472
51,1962,"female",151,305,161
19,1994,"female",192,130,268
27,1986,"male",202,125,121
54,1959,"female",77,1510,167
42,1971,"female",422,101,209
21,1992,"male",117,1079,1181
18,1995,"male",65,379,371
45,1968,"female",162,152,385
64,1949,"female",182,332,236
66,1947,"female",138,1322,132
26,1987,"female",1054,2430,2626
48,1965,"male",281,296,260
41,1972,"female",317,1268,958
28,1985,"female",67,213,278
34,1979,"female",167,232,321
17,1996,"female",1251,715,981
52,1961,"female",195,220,123
15,1998,"female",625,446,501
17,1996,"female",884,753,755
45,1968,"female",70,322,298
29,1984,"female",135,172,118
42,1971,"male",106,113,129
27,1986,"female",404,1252,1040
19,1994,"female",192,178,246
47,1966,"male",68,797,161
21,1992,"female",562,196,192
26,1987,"male",97,216,271
32,1981,"female",283,432,119
26,1987,"female",237,938,1269
39,1974,"female",261,188,184
20,1993,"male",337,672,108
65,1948,"male",269,104,169
17,1996,"male",279,1326,1453
14,1999,"female",381,533,272
22,1991,"male",277,788,115
38,1975,"female",119,897,895
35,1978,"female",508,402,400
27,1986,"male",101,1063,1002
61,1952,"female",146,346,515
66,1947,"female",76,1142,121
33,1980,"female",258,1430,1047
61,1952,"female",199,217,145
44,1969,"female",136,552,1590
14,1999,"male",1610,102,110
24,1989,"male",113,1631,376
61,1952,"female",304,538,315
23,1990,"female",406,588,996
58,1955,"female",432,285,1084
25,1988,"male",387,488,134
51,1962,"female",82,193,167
59,1954,"male",81,1038,207
16,1997,"female",987,114,130
17,1996,"female",312,260,429
25,1988,"male",810,4847,1816
23,1990,"female",165,366,543
20,1993,"female",418,228,127
57,1956,"female",54,210,146
58,1955,"female",104,254,461
31,1982,"female",65,226,208
61,1952,"female",162,686,323
20,1993,"male",411,330,829
51,1962,"female",727,870,500
50,1963,"male",709,1215,1166
17,1996,"female",379,377,310
26,1987,"female",265,1664,611
58,1955,"male",105,327,371
17,1996,"female",3505,861,846
19,1994,"female",695,366,362
57,1956,"female",77,149,126
27,1986,"male",648,1187,1578
20,1993,"male",148,194,162
19,1994,"female",412,225,167
23,1990,"female",990,403,1516
33,1980,"female",117,132,125
44,1969,"male",269,2091,568
17,1996,"female",627,112,209
56,1957,"female",299,149,103
60,1953,"female",55,948,807
18,1995,"female",1886,346,861
23,1990,"female",375,354,204
19,1994,"male",290,148,146
53,1960,"female",303,260,471
16,1997,"female",120,159,329
25,1988,"female",427,496,567
21,1992,"male",811,190,324
20,1993,"male",426,406,186
19,1994,"male",60,129,141
20,1993,"female",877,110,768
20,1993,"female",141,258,156
65,1948,"male",1774,1682,953
33,1980,"female",258,110,373
27,1986,"female",293,221,346
14,1999,"female",407,422,222
32,1981,"female",77,141,175
43,1970,"female",282,768,290
16,1997,"female",397,1385,279
30,1983,"male",207,511,122
20,1993,"male",706,607,129
26,1987,"female",196,102,125
43,1970,"female",534,560,1011
39,1974,"female",111,286,283
52,1961,"female",312,320,175
27,1986,"male",1341,2878,1738
18,1995,"female",136,121,131
58,1955,"female",178,791,309
19,1994,"male",1332,185,200
28,1985,"female",1050,1161,2134
61,1952,"male",145,252,104
23,1990,"female",700,187,383
21,1992,"female",184,439,549
21,1992,"male",136,541,217
63,1950,"female",1385,388,189
27,1986,"female",318,346,508
45,1968,"female",150,190,265
18,1995,"male",338,601,700
65,1948,"female",381,1212,2583
18,1995,"female",73,620,240
43,1970,"male",264,1471,440
60,1953,"female",103,1357,775
53,1960,"female",139,1041,241
16,1997,"female",403,4501,4091
37,1976,"female",54,254,738
16,1997,"female",1831,124,163
13,2000,"female",2028,4142,3095
50,1963,"female",185,641,602
50,1963,"female",325,411,382
40,1973,"female",313,423,388
27,1986,"female",130,120,216
56,1957,"female",274,728,791
22,1991,"male",587,184,105
15,1998,"female",4826,815,4801
15,1998,"female",1296,2686,2698
26,1987,"female",187,306,201
25,1988,"female",265,523,677
21,1992,"female",221,450,273
16,1997,"female",4279,299,4278
22,1991,"female",1014,4900,2280
48,1965,"female",112,705,265
51,1962,"female",168,991,551
54,1959,"female",79,1019,138
52,1961,"female",51,241,140
28,1985,"female",179,414,164
49,1964,"female",202,280,220
28,1985,"female",1386,1609,981
18,1995,"male",871,1605,422
41,1972,"female",716,2089,2700
33,1980,"male",386,300,239
20,1993,"female",176,204,212
46,1967,"female",98,527,974
26,1987,"female",323,162,327
62,1951,"male",1222,316,238
22,1991,"male",299,460,129
37,1976,"female",102,634,183
34,1979,"female",177,369,201
19,1994,"female",491,904,432
34,1979,"female",202,2452,3520
26,1987,"female",94,552,147
16,1997,"male",2593,402,272
38,1975,"female",72,193,203
19,1994,"male",215,120,157
18,1995,"female",85,202,169
18,1995,"female",766,1057,1925
25,1988,"female",394,369,424
49,1964,"female",562,474,445
58,1955,"female",79,776,185
21,1992,"male",326,367,160
17,1996,"male",2458,484,716
40,1973,"female",660,139,609
19,1994,"female",53,233,128
23,1990,"female",706,1273,1903
33,1980,"male",361,188,225
28,1985,"female",202,1671,670
21,1992,"female",204,3865,2058
57,1956,"female",233,420,154
35,1978,"female",257,364,123
42,1971,"male",154,203,158
16,1997,"female",324,433,319
15,1998,"male",489,688,216
18,1995,"female",3475,233,1576
18,1995,"female",390,157,199
55,1958,"female",118,163,157
26,1987,"female",139,722,775
52,1961,"female",51,604,314
17,1996,"female",170,355,226
38,1975,"female",81,570,214
17,1996,"female",2053,244,685
16,1997,"female",322,508,420
37,1976,"female",81,160,364
37,1976,"female",702,126,1246
37,1976,"female",152,110,107
48,1965,"female",138,416,328
15,1998,"female",1697,410,651
18,1995,"female",200,198,218
23,1990,"female",211,764,398
19,1994,"male",340,857,199
21,1992,"female",643,2870,2408
17,1996,"female",817,783,425
44,1969,"female",56,497,526
57,1956,"female",161,424,153
21,1992,"male",739,360,115
30,1983,"female",211,640,113
22,1991,"male",4078,3228,1956
51,1962,"female",81,415,320
53,1960,"male",378,118,168
19,1994,"female",365,681,604
22,1991,"female",278,352,388
34,1979,"female",191,153,286
50,1963,"male",122,112,124
22,1991,"male",134,315,306
18,1995,"male",729,485,328
65,1948,"female",277,356,245
45,1968,"female",95,411,213
38,1975,"female",99,328,234
19,1994,"female",691,705,974
19,1994,"female",114,250,149
15,1998,"male",893,180,201
18,1995,"male",241,126,151
15,1998,"female",3478,2318,1703
15,1998,"female",1059,437,618
53,1960,"female",113,424,436
48,1965,"female",156,360,107
35,1978,"male",144,468,115
21,1992,"male",774,610,550
23,1990,"female",65,1434,1140
18,1995,"male",203,610,723
23,1990,"female",285,213,115
23,1990,"male",1005,780,331
27,1986,"male",146,382,292
19,1994,"female",1696,284,387
20,1993,"male",286,156,242
22,1991,"female",144,128,170
19,1994,"female",2749,106,554
16,1997,"female",427,199,126
17,1996,"female",964,1596,2534
16,1997,"male",483,673,182
49,1964,"female",178,293,719
30,1983,"female",134,492,124
19,1994,"female",4568,3946,3794
51,1962,"female",172,470,284
30,1983,"female",878,2468,4084
27,1986,"female",75,822,253
21,1992,"female",395,384,272
34,1979,"male",193,1366,442
44,1969,"female",68,268,234
26,1987,"female",197,472,332
16,1997,"female",79,279,349
66,1947,"female",91,119,158
24,1989,"male",747,4402,1484
19,1994,"female",56,849,1145
41,1972,"female",65,525,270
18,1995,"male",701,1050,903
19,1994,"male",665,1036,451
17,1996,"male",1865,446,1879
44,1969,"male",58,299,142
56,1957,"female",97,108,261
46,1967,"female",370,153,148
26,1987,"female",112,717,275
28,1985,"male",121,2846,550
19,1994,"male",379,106,449
19,1994,"female",423,914,218
21,1992,"female",178,333,340
18,1995,"female",83,1237,375
46,1967,"female",303,926,1178
16,1997,"male",1510,502,501
17,1996,"female",915,1322,830
49,1964,"female",153,620,190
31,1982,"female",283,650,185
24,1989,"female",110,318,430
29,1984,"female",318,1179,498
24,1989,"male",78,282,115
15,1998,"female",669,1474,204
15,1998,"female",2397,2065,1489
32,1981,"male",440,111,301
20,1993,"female",235,549,925
15,1998,"female",744,199,194
19,1994,"female",241,2359,1318
20,1993,"female",85,129,492
56,1957,"female",105,3680,334
34,1979,"female",73,390,219
66,1947,"female",133,650,346
20,1993,"female",2052,3393,1790
37,1976,"female",109,1816,922
30,1983,"male",100,159,131
48,1965,"female",498,2733,1381
46,1967,"female",217,445,358
33,1980,"female",321,114,191
40,1973,"male",326,1022,1961
25,1988,"male",624,1438,1344
29,1984,"female",82,928,104
66,1947,"female",150,156,120
23,1990,"female",74,279,169
62,1951,"female",355,1319,414
23,1990,"female",309,399,462
18,1995,"male",1761,481,811
50,1963,"female",526,579,262
32,1981,"female",167,291,352
51,1962,"female",538,849,1273
22,1991,"female",114,2643,125
20,1993,"female",662,714,3133
52,1961,"female",131,472,201
22,1991,"male",172,619,188
22,1991,"male",1729,684,548
13,2000,"female",1832,1595,2458
17,1996,"female",1094,1358,967
59,1954,"male",122,236,167
22,1991,"female",1030,280,232
29,1984,"female",225,497,583
20,1993,"female",694,163,317
36,1977,"male",2856,1532,3658
25,1988,"female",270,282,417
19,1994,"female",220,645,303
16,1997,"female",408,1719,658
19,1994,"female",597,215,407
24,1989,"male",131,642,179
48,1965,"female",397,148,102
22,1991,"female",665,1423,1794
57,1956,"female",92,120,120
21,1992,"female",209,210,168
34,1979,"female",92,1250,179
15,1998,"female",66,659,612
66,1947,"female",143,815,1512
19,1994,"female",114,574,222
13,2000,"female",127,3872,358
17,1996,"male",192,465,181
31,1982,"male",154,249,163
19,1994,"female",164,154,145
65,1948,"female",161,3928,913
18,1995,"male",638,1203,198
32,1981,"female",301,1431,756
21,1992,"male",743,2453,881
23,1990,"female",83,378,422
52,1961,"female",278,240,231
39,1974,"female",64,175,153
33,1980,"male",803,344,193
19,1994,"female",510,1038,126
22,1991,"female",930,187,322
42,1971,"female",429,817,608
35,1978,"male",64,253,222
23,1990,"female",497,1648,478
19,1994,"female",500,254,328
19,1994,"female",1338,3065,1585
31,1982,"male",719,1036,1043
45,1968,"female",210,117,459
33,1980,"female",151,1255,657
59,1954,"male",114,275,130
17,1996,"female",894,638,221
37,1976,"female",61,329,136
28,1985,"female",114,219,322
48,1965,"female",303,829,463
60,1953,"female",410,141,130
24,1989,"female",463,1619,825
17,1996,"female",210,194,597
18,1995,"male",2710,459,1131
37,1976,"female",154,410,243
27,1986,"male",171,469,246
50,1963,"female",201,335,252
18,1995,"female",693,2872,535
18,1995,"female",603,330,765
43,1970,"female",83,175,449
19,1994,"female",193,258,174
43,1970,"male",728,110,625
15,1998,"male",1581,2205,1700
15,1998,"female",2080,1617,2217
50,1963,"female",289,337,110
24,1989,"male",253,120,144
66,1947,"female",313,317,377
18,1995,"female",212,170,256
23,1990,"male",217,634,332
21,1992,"male",572,959,285
61,1952,"female",843,949,640
19,1994,"male",568,531,474
48,1965,"female",358,960,712
18,1995,"female",438,279,702
41,1972,"female",62,620,247
16,1997,"female",721,1434,984
21,1992,"male",131,199,203
42,1971,"female",238,4873,3450
61,1952,"female",158,568,308
28,1985,"female",891,1899,321
33,1980,"female",89,214,409
18,1995,"female",320,1593,2797
52,1961,"male",180,871,795
26,1987,"female",481,2143,2275
16,1997,"female",60,271,234
42,1971,"female",237,688,739
36,1977,"female",54,203,211
20,1993,"female",81,132,111
17,1996,"female",2517,1542,3212
25,1988,"male",314,780,762
32,1981,"female",352,493,183
20,1993,"male",370,197,226
18,1995,"female",410,1070,1832
57,1956,"female",122,179,472
57,1956,"male",653,552,430
21,1992,"female",229,396,113
28,1985,"male",137,138,119
19,1994,"female",1681,1621,1457
22,1991,"female",620,331,297
63,1950,"female",135,332,382
14,1999,"female",462,567,370
31,1982,"female",169,280,182
29,1984,"male",65,346,262
55,1958,"male",251,206,158
20,1993,"female",100,770,350
16,1997,"female",1339,461,1219
52,1961,"female",129,198,119
15,1998,"female",351,105,147
23,1990,"female",102,283,155
26,1987,"female",410,1080,660
44,1969,"female",64,381,367
17,1996,"female",222,301,221
19,1994,"female",438,1630,1105
57,1956,"female",492,711,691
15,1998,"female",190,111,186
19,1994,"male",207,155,227
30,1983,"female",183,284,379
21,1992,"female",114,110,118
35,1978,"male",1627,194,1105
61,1952,"female",133,783,390
40,1973,"female",497,1054,527
19,1994,"female",494,1875,2280
22,1991,"male",350,2171,934
16,1997,"female",930,162,297
30,1983,"female",235,808,694
20,1993,"female",85,664,408
58,1955,"male",193,672,207
23,1990,"female",808,847,1317
34,1979,"female",464,602,349
28,1985,"female",137,535,430
18,1995,"female",332,1109,349
52,1961,"male",262,832,1240
25,1988,"female",63,534,314
24,1989,"female",659,666,535
13,2000,"female",1047,382,246
28,1985,"male",282,229,146
28,1985,"male",193,110,190
62,1951,"female",143,176,209
33,1980,"male",1054,381,231
23,1990,"male",172,136,195
19,1994,"female",768,310,462
31,1982,"male",287,816,300
20,1993,"male",61,230,239
48,1965,"female",218,1027,411
17,1996,"female",248,203,125
20,1993,"male",348,394,144
52,1961,"male",69,123,153
44,1969,"female",172,600,180
64,1949,"female",166,205,235
53,1960,"female",518,201,205
18,1995,"female",321,829,564
16,1997,"male",1207,123,129
21,1992,"female",369,324,359
15,1998,"male",105,181,150
22,1991,"female",83,749,667
22,1991,"female",515,833,1275
52,1961,"male",692,469,725
30,1983,"female",198,532,252
26,1987,"female",102,148,115
24,1989,"male",308,307,213
18,1995,"male",979,961,969
31,1982,"female",101,387,691
54,1959,"female",245,254,357
26,1987,"female",905,1624,3174
35,1978,"female",203,3210,1325
26,1987,"female",218,692,542
25,1988,"female",710,718,598
66,1947,"female",84,538,169
31,1982,"female",239,381,289
64,1949,"female",147,1399,738
15,1998,"female",1095,1508,255
53,1960,"female",98,358,163
16,1997,"female",672,2105,2892
53,1960,"female",339,2085,787
60,1953,"male",336,246,400
21,1992,"male",248,1989,1223
14,1999,"male",65,263,169
18,1995,"male",716,2236,3858
53,1960,"female",406,454,281
23,1990,"female",247,162,124
57,1956,"female",61,248,129
19,1994,"male",602,651,282
20,1993,"female",424,1559,908
17,1996,"male",2347,1353,1636
16,1997,"male",146,455,358
65,1948,"male",206,416,162
19,1994,"male",2764,637,352
20,1993,"female",747,818,264
30,1983,"female",434,371,184
18,1995,"male",450,322,233
15,1998,"male",172,205,125
15,1998,"male",446,2160,1625
18,1995,"male",508,444,134
45,1968,"male",103,297,137
31,1982,"male",205,640,209
19,1994,"female",195,440,311
58,1955,"female",89,1497,1928
20,1993,"female",1144,785,1312
24,1989,"female",315,1340,473
22,1991,"male",707,157,345
33,1980,"male",590,452,363
40,1973,"female",213,681,522
43,1970,"female",180,1571,161
17,1996,"female",909,393,1030
51,1962,"female",173,558,491
16,1997,"male",468,2039,509
23,1990,"female",278,1070,416
51,1962,"male",897,423,160
53,1960,"female",134,804,508
18,1995,"female",219,263,121
23,1990,"female",754,435,487
58,1955,"male",314,690,162
24,1989,"female",56,130,180
19,1994,"female",783,317,620
48,1965,"male",192,264,207
17,1996,"female",914,1295,606
43,1970,"female",1238,1097,2825
30,1983,"female",472,226,437
17,1996,"female",1085,1600,1937
36,1977,"female",694,497,584
18,1995,"female",2022,241,131
18,1995,"male",369,432,291
20,1993,"male",425,405,343
17,1996,"female",1310,104,407
25,1988,"female",600,1344,1291
38,1975,"female",69,290,156
63,1950,"female",51,411,147
57,1956,"female",181,258,177
60,1953,"female",215,464,222
17,1996,"female",715,2917,1497
15,1998,"female",914,1438,2274
27,1986,"female",162,278,274
42,1971,"female",1243,586,884
17,1996,"male",740,330,314
24,1989,"female",644,127,130
17,1996,"male",317,105,142
63,1950,"male",235,103,169
50,1963,"male",202,294,595
47,1966,"female",1171,160,312
39,1974,"female",767,3191,1250
17,1996,"male",861,204,1058
21,1992,"female",81,182,234
17,1996,"female",184,133,404
22,1991,"male",204,509,132
56,1957,"female",78,1051,228
19,1994,"female",108,128,424
31,1982,"male",652,583,859
16,1997,"female",984,239,364
16,1997,"female",647,1000,640
15,1998,"female",271,279,357
26,1987,"female",110,681,695
17,1996,"female",254,520,715
29,1984,"male",416,1298,312
19,1994,"female",291,388,666
44,1969,"male",102,304,146
64,1949,"female",122,128,112
19,1994,"male",153,996,479
24,1989,"female",169,609,2103
25,1988,"male",317,486,219
18,1995,"female",2435,2840,3135
19,1994,"female",930,1083,1331
64,1949,"female",248,366,167
24,1989,"male",59,636,570
23,1990,"female",970,445,980
27,1986,"male",233,103,130
53,1960,"female",77,220,128
38,1975,"male",171,189,119
19,1994,"female",433,1357,1079
44,1969,"female",690,1793,1699
50,1963,"female",74,242,177
37,1976,"female",144,347,327
17,1996,"female",2217,300,172
34,1979,"female",257,270,333
24,1989,"female",547,105,195
21,1992,"female",214,231,248
23,1990,"female",200,291,263
19,1994,"male",292,722,228
19,1994,"female",248,254,131
26,1987,"female",229,603,381
43,1970,"male",531,490,677
32,1981,"female",302,495,350
18,1995,"female",1211,3842,1150
17,1996,"male",635,800,709
14,1999,"female",453,1043,639
18,1995,"female",370,158,147
24,1989,"female",302,131,379
51,1962,"female",115,1402,627
26,1987,"male",358,1192,379
38,1975,"female",81,3045,754
47,1966,"male",74,2006,187
14,1999,"male",404,1406,1067
19,1994,"male",184,132,298
17,1996,"male",1029,462,573
16,1997,"female",1466,2319,1765
38,1975,"male",78,628,387
32,1981,"female",696,1578,893
19,1994,"female",1115,763,1029
20,1993,"female",688,130,474
16,1997,"female",3357,1414,1529
48,1965,"female",92,233,297
18,1995,"female",580,1663,1890
17,1996,"female",619,355,451
33,1980,"female",249,1432,1153
23,1990,"female",547,123,466
44,1969,"male",217,477,556
15,1998,"female",564,1163,956
20,1993,"female",341,1546,1388
45,1968,"female",168,759,374
24,1989,"female",1072,2525,1952
19,1994,"female",1559,183,214
19,1994,"male",147,126,160
23,1990,"female",146,176,209
43,1970,"female",450,832,469
23,1990,"female",557,1515,2021
24,1989,"female",89,159,126
40,1973,"female",92,120,204
48,1965,"male",373,267,279
43,1970,"female",69,223,534
25,1988,"female",678,334,253
17,1996,"female",1031,1721,1070
20,1993,"female",449,897,560
24,1989,"female",52,490,101
16,1997,"female",1137,214,640
47,1966,"male",400,143,483
19,1994,"male",1587,802,3164
29,1984,"female",184,178,158
62,1951,"female",206,539,298
17,1996,"female",3891,2122,2061
21,1992,"female",1332,147,810
20,1993,"male",111,104,198
22,1991,"male",481,710,376
36,1977,"female",115,147,129
28,1985,"female",611,1597,1329
18,1995,"female",361,437,290
25,1988,"male",694,191,292
15,1998,"female",323,2591,1322
18,1995,"male",803,301,312
38,1975,"female",194,437,365
18,1995,"female",186,137,154
53,1960,"female",106,171,284
17,1996,"female",313,150,154
58,1955,"female",185,595,286
27,1986,"female",283,708,329
18,1995,"male",343,1326,803
20,1993,"female",651,1161,773
25,1988,"male",1122,112,309
21,1992,"male",181,191,140
27,1986,"female",400,529,440
49,1964,"female",241,318,105
49,1964,"female",232,297,407
16,1997,"female",393,197,283
55,1958,"female",690,793,2644
32,1981,"male",308,150,288
25,1988,"female",108,169,220
35,1978,"female",284,168,556
23,1990,"male",196,190,148
19,1994,"female",162,118,204
24,1989,"male",160,288,164
51,1962,"female",280,155,238
37,1976,"female",154,1359,1273
25,1988,"male",75,279,144
15,1998,"female",203,3437,285
19,1994,"female",994,1858,337
61,1952,"male",333,643,114
61,1952,"female",503,291,115
21,1992,"female",245,136,198
48,1965,"female",134,435,342
30,1983,"female",116,182,448
25,1988,"female",391,1770,736
17,1996,"male",305,130,463
19,1994,"female",262,2085,618
43,1970,"female",72,296,235
24,1989,"male",72,114,137
48,1965,"male",79,324,170
19,1994,"female",471,111,119
35,1978,"female",72,174,143
55,1958,"male",222,151,236
58,1955,"male",542,138,279
17,1996,"male",298,4438,1947
66,1947,"male",516,349,135
19,1994,"female",890,1031,1546
25,1988,"female",90,144,106
19,1994,"female",1115,1434,4191
21,1992,"male",132,372,257
30,1983,"male",295,1459,207
22,1991,"female",320,407,968
17,1996,"female",586,288,282
19,1994,"female",895,277,479
17,1996,"male",1343,2239,805
38,1975,"female",150,1439,533
26,1987,"female",53,476,1392
18,1995,"female",720,427,301
19,1994,"female",254,163,130
21,1992,"male",94,372,313
33,1980,"female",142,618,1082
19,1994,"female",563,816,3137
21,1992,"female",240,108,182
58,1955,"male",73,605,400
28,1985,"female",67,770,317
16,1997,"female",232,412,294
16,1997,"female",898,240,347
48,1965,"male",84,312,256
21,1992,"male",1067,637,800
55,1958,"female",137,996,405
27,1986,"male",432,188,114
21,1992,"male",343,527,299
27,1986,"male",61,624,104
49,1964,"male",232,201,201
37,1976,"male",51,125,170
16,1997,"female",791,173,225
15,1998,"female",938,1979,1175
63,1950,"female",171,1894,611
18,1995,"female",588,892,764
24,1989,"female",1390,552,1242
19,1994,"male",181,1802,186
52,1961,"female",2159,2219,2983
24,1989,"male",193,233,205
54,1959,"male",1103,890,805
57,1956,"male",89,120,115
28,1985,"female",251,467,276
39,1974,"female",116,432,149
21,1992,"female",415,194,260
16,1997,"female",684,422,174
25,1988,"male",297,334,212
15,1998,"female",205,450,318
31,1982,"female",2298,1870,2241
22,1991,"male",326,124,194
19,1994,"female",151,189,173
18,1995,"female",76,286,122
29,1984,"female",97,307,135
15,1998,"female",401,1163,850
19,1994,"female",311,121,117
40,1973,"female",167,259,191
49,1964,"female",154,304,175
26,1987,"male",386,102,174
21,1992,"male",101,159,521
21,1992,"female",493,116,273
28,1985,"female",106,178,319
20,1993,"female",274,556,435
32,1981,"female",96,207,395
20,1993,"female",95,456,486
